Time,Temperature,Humidity
2020-10-02 09:27:18,23.45,61.31
2020-10-02 09:17:18,23.46,61.48
2020-10-02 09:07:18,23.47,61.66
2020-10-02 08:57:18,23.48,61.84
2020-10-02 08:47:18,23.49,62.01
2020-10-02 08:37:18,23.49,61.71
2020-10-02 08:27:18,23.45,62.18
2020-10-02 08:17:18,23.42,62.64
2020-10-02 08:07:18,23.38,63.10
2020-10-02 07:57:18,23.35,63.57
2020-10-02 07:47:18,23.31,64.03
2020-10-02 07:37:18,23.28,64.49
2020-10-02 07:27:18,23.24,64.96
2020-10-02 07:17:18,23.21,65.42
2020-10-02 07:07:18,23.18,65.88
2020-10-02 06:57:18,23.18,65.86
2020-10-02 06:47:18,23.16,65.98
2020-10-02 06:37:18,23.14,66.10
2020-10-02 06:27:18,23.12,66.22
2020-10-02 06:17:18,23.10,66.34
2020-10-02 06:07:18,23.08,66.46
2020-10-02 05:57:18,23.06,66.58
2020-10-02 05:47:18,23.04,66.70
2020-10-02 05:37:18,23.02,66.82
2020-10-02 05:27:18,23.00,66.94
2020-10-02 05:17:18,23.05,66.47
2020-10-02 05:07:18,23.03,66.63
2020-10-02 04:57:18,23.01,66.78
2020-10-02 04:47:18,22.99,66.93
2020-10-02 04:37:18,22.97,67.09
2020-10-02 04:27:18,22.96,67.24
2020-10-02 04:17:18,22.94,67.39
2020-10-02 04:07:18,22.92,67.55
2020-10-02 03:57:18,22.90,67.70
2020-10-02 03:47:18,22.89,67.85
2020-10-02 03:37:18,22.86,70.02
2020-10-02 03:27:18,22.83,69.75
2020-10-02 03:17:18,22.80,69.49
2020-10-02 03:07:18,22.77,69.23
2020-10-02 02:57:18,22.74,68.97
2020-10-02 02:47:18,22.71,68.70
2020-10-02 02:37:18,22.68,68.44
2020-10-02 02:27:18,22.65,68.18
2020-10-02 02:17:18,22.62,67.92
2020-10-02 02:07:18,22.60,67.66
2020-10-02 01:57:18,22.58,68.59
2020-10-02 01:47:18,22.53,68.39
2020-10-02 01:37:18,22.49,68.19
2020-10-02 01:27:18,22.45,68.00
2020-10-02 01:17:18,22.40,67.80
2020-10-02 01:07:18,22.36,67.61
2020-10-02 00:57:18,22.32,67.41
2020-10-02 00:47:18,22.27,67.22
